,start,end,url,expanded_url,display_url,images,status,title,description,unwound_url,id,author_id,text,created_at,retweet_count,reply_count,like_count,quote_count,reference_type,reference_id,media_key
352,,,,,,,,,,,1598912354393391104,19741316,RT @GeoffONeil: I would like to congratulate Alex Grinch for finally knocking UW out of the Rose Bowl,2022-12-03T05:29:46.000Z,61,0,0,0,retweeted,1598903526419492865,
353,97,120,https://t.co/51yy0jywdG,https://twitter.com/WatkinsRyan3234/status/1598905705263611904,twitter.com/WatkinsRyan323…,,,,,,1598908557508116480,19741316,Is Williams planning to sit out the 2023 college season? He's not NFL draft eligible until 2024. https://t.co/51yy0jywdG,2022-12-03T05:14:41.000Z,1,1,11,0,quoted,1598905705263611904,
354,122,145,https://t.co/z1PSzA6IGA,https://twitter.com/Beavs4life/status/1598905362702561281,twitter.com/Beavs4life/sta…,,,,,,1598906041055735808,19741316,"Not in my opinion. Vegas is pre-Christmas, the opponent is SEC, and it's a stand-alone prime time game on the East coast. https://t.co/z1PSzA6IGA",2022-12-03T05:04:41.000Z,3,9,49,0,quoted,1598905362702561281,
355,20,43,https://t.co/PqqVAq1wS8,https://twitter.com/Utah_Football/status/1598902197588471808,twitter.com/Utah_Football/…,,,,,,1598904708764438529,19741316,Cold. And accurate. https://t.co/PqqVAq1wS8,2022-12-03T04:59:23.000Z,0,2,51,1,quoted,1598902197588471808,
356,,,,,,,,,,,1598904414986964993,19741316,"Latest Pac-12 bowl projection:
Rose: Utah
Cotton: USC
Alamo: Washington
Holiday: Oregon
Las Vegas: Oregon State
Sun: UCLA
LA: Washington State",2022-12-03T04:58:13.000Z,33,25,327,7,,,
357,,,,,,,,,,,1598897078851497984,19741316,"Now Washington, Oregon, Oregon State and UCLA have to wonder if USC can hang on and get an NY6 at-large berth to the Cotton Bowl.

USC to the Alamo shakes up the Pac-12 bowl pecking order, for sure.",2022-12-03T04:29:04.000Z,2,19,78,1,,,
358,115,138,https://t.co/nAJEz8hUmK,https://twitter.com/JesseSowaGT/status/1598894663637028865,twitter.com/JesseSowaGT/st…,,,,,,1598895695402262528,19741316,"Stats don't matter when the team does these 2 things:

Best QB in the conference
Takes the ball away like no other https://t.co/nAJEz8hUmK",2022-12-03T04:23:34.000Z,0,1,12,1,quoted,1598894663637028865,
359,66,89,https://t.co/drBLhJqfdc,https://www.oregonlive.com/beavers/2022/05/eager-oregon-state-beavers-isaac-hodgins-football-teammates-use-nil-rules-to-form-a-yard-service-business.html,oregonlive.com/beavers/2022/0…,"[{'url': 'https://pbs.twimg.com/news_img/1598875776837115904/tKroxJR3?format=jpg&name=orig', 'width': 1280, 'height': 859}, {'url': 'https://pbs.twimg.com/news_img/1598875776837115904/tKroxJR3?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200.0,"Eager Oregon State Beavers Isaac Hodgins, football teammates use NIL rules to form a yard service business","Hodgins, Jake Overman and Logan Horton of OSU football form a business using their Beaver ties that they couldn't have done prior to name, image and likeness rules",https://www.oregonlive.com/beavers/2022/05/eager-oregon-state-beavers-isaac-hodgins-football-teammates-use-nil-rules-to-form-a-yard-service-business.html,1598875773058027520,19741316,"Give 'em some business. 

I wrote about them earlier this year. 

https://t.co/drBLhJqfdc https://t.co/hMGB4rO51e",2022-12-03T03:04:24.000Z,1.0,2.0,53.0,0.0,quoted,1598874853884727296,
360,90,113,https://t.co/hMGB4rO51e,https://twitter.com/jakeovermanz/status/1598874853884727296,twitter.com/jakeovermanz/s…,,,,,,1598875773058027520,19741316,"Give 'em some business. 

I wrote about them earlier this year. 

https://t.co/drBLhJqfdc https://t.co/hMGB4rO51e",2022-12-03T03:04:24.000Z,,,,,,,
361,,,,,,,,,,,1598874268066287616,19741316,"I was ready to write off Utah midway through the second quarter vs. USC. (Some of you were, too).

Then I remembered who coaches Utah and how the Utes take on his personality. And here we are 17-17 at halftime.",2022-12-03T02:58:25.000Z,0,10,52,1,,,
362,28,51,https://t.co/2ZaDIHJHn5,https://twitter.com/rob_jaffe/status/1598741301037789185,twitter.com/rob_jaffe/stat…,,,,,,1598747290407432192,19741316,Appreciate your readership. https://t.co/2ZaDIHJHn5,2022-12-02T18:33:51.000Z,0,0,11,0,quoted,1598741301037789185,
363,75,98,https://t.co/gYfbqU5N8G,https://www.oregonlive.com/beavers/2022/12/oregon-state-mailbag-transfer-qbs-trent-bray-contract-stud-kickers-bowls-bowls-and-more-bowls.html,oregonlive.com/beavers/2022/1…,"[{'url': 'https://pbs.twimg.com/news_img/1598739688181092352/UyXaw9mX?format=jpg&name=orig', 'width': 1280, 'height': 853}, {'url': 'https://pbs.twimg.com/news_img/1598739688181092352/UyXaw9mX?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200,"Oregon State mailbag: Transfer QBs, Trent Bray contract, ‘stud’ kickers, bowls, bowls and more bowls",The weekly segment where readers ask questions about Oregon State athletics and The Oregonian/OregonLive's Nick Daschel supplies an answer,https://www.oregonlive.com/beavers/2022/12/oregon-state-mailbag-transfer-qbs-trent-bray-contract-stud-kickers-bowls-bowls-and-more-bowls.html,1598739687661002753,19741316,"So many questions this week for OSU mailbag. Answered as many as I could.

https://t.co/gYfbqU5N8G",2022-12-02T18:03:39.000Z,1,6,35,0,,,
364,,,,,,,,,,,1598707639143526400,19741316,"I just saw the replay of Dexter Akanno's game-winning three-point play against Washington. That was a terrible call on the foul.

I know, I know. Evens out the even worse call a few minutes earlier that went against OSU.",2022-12-02T15:56:18.000Z,1,5,48,0,,,
365,56,79,https://t.co/oOLpbJItgp,https://twitter.com/Poravi76/status/1598671033057566720,twitter.com/Poravi76/statu…,,,,,,1598679947992002562,19741316,Pretty sure Washington would make that trade every day. https://t.co/oOLpbJItgp,2022-12-02T14:06:16.000Z,0,1,18,0,quoted,1598671033057566720,
366,,,,,,,,,,,1599228102580002816,17527292,"@shortyco206 @trailblazers @trendonw @ROOTSPORTS_NW Me, too",2022-12-04T02:24:26.000Z,0,0,0,0,replied_to,1599227125839843329,
367,242,265,https://t.co/eX9revkIzu,https://twitter.com/OregonianBiz/status/1598798422261342225,twitter.com/OregonianBiz/s…,,,,,,1598808945766060032,17527292,"Intel CEO Pat Gelsinger has built his turnaround plan on revitalizing the company’s manufacturing prowess, so the unpaid leave may represent Intel’s effort to manage the current downturn without doing permanent damage to its factory network. https://t.co/eX9revkIzu",2022-12-02T22:38:51.000Z,0,1,3,0,quoted,1598798422261342225,
368,,,,,,,,,,,1598797310309593088,17527292,"@edercampuzano That's brutal. 

Another good reason to loathe that train.",2022-12-02T21:52:37.000Z,0,1,1,0,replied_to,1598796906951593984,
369,,,,,,,,,,,1598792856533368832,17527292,@edercampuzano The bridge has made *such* a difference (for bikes...no help for drivers),2022-12-02T21:34:55.000Z,0,1,8,0,replied_to,1598790842243813410,
370,,,,,,,,,,,1598362214721024000,17527292,"RT @RyanTClarke: BREAKING: Merritt Paulson is officially selling the Portland Thorns.

I sat down with Paulson on Wednesday to discuss his…",2022-12-01T17:03:42.000Z,39,0,0,0,retweeted,1598361420688596992,
371,,,,,,,,,,,1598317733137223682,17527292,@markcianci Yeah....one of those things that may have been too good to be true.,2022-12-01T14:06:57.000Z,0,0,0,0,replied_to,1598215027353595905,
372,,,,,,,,,,,1598189403029245952,17527292,RT @Jim_in_Oregon: When Monica Lewinsky (finally) tweets about quantum!,2022-12-01T05:37:01.000Z,2,0,0,0,retweeted,1598183988891639808,
373,,,,,,,,,,,1598166995438292992,17527292,RT @andrewtheen: Evoca? We hardly knew ya,2022-12-01T04:07:58.000Z,2,0,0,0,retweeted,1598163393411952640,
374,180,203,https://t.co/01JPHoZazP,https://www.instagram.com/p/Clz12hhMksJ/?igshid=Zjc2ZTc4Nzk=,instagram.com/p/Clz12hhMksJ/…,"[{'url': 'https://pbs.twimg.com/news_img/1599971537620463616/LVSdMYC_?format=jpg&name=orig', 'width': 512, 'height': 640}, {'url': 'https://pbs.twimg.com/news_img/1599971537620463616/LVSdMYC_?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200.0,Evander (@evander) • Instagram photos and videos,"Evander shared a post on Instagram: ""I think now it’s time for me to say something… First of all, I want to thank God for everything that happened with the @fcmidtjylland jersey, now giving me the opportunity to wear @timbersfc jersey and write a new history. I also want to thank everyone involved, all those that made this happen. I’m very excited and happy to start this chapter. I’m 100% sure that together we will bring Portland back to the top. Can’t wait for the star of the season… it will be fun. Let the games begin 🪵🪓🌹"". Follow their account to see 337 posts.",https://www.instagram.com/p/Clz12hhMksJ/?igshid=Zjc2ZTc4Nzk=,1599971535149989889,326913251,".@OficialEvander with an IG post ahead of tomorrow’s introductory press conference with the Timbers.

“I’m 100% sure that together we will bring Portland back to the top.” #RCTID

https://t.co/01JPHoZazP https://t.co/GzpXErxqn2",2022-12-06T03:38:34.000Z,0.0,2.0,53.0,0.0,,,
375,204,227,https://t.co/GzpXErxqn2,https://twitter.com/RyanTClarke/status/1599971535149989889/photo/1,pic.twitter.com/GzpXErxqn2,,,,,,1599971535149989889,326913251,".@OficialEvander with an IG post ahead of tomorrow’s introductory press conference with the Timbers.

“I’m 100% sure that together we will bring Portland back to the top.” #RCTID

https://t.co/01JPHoZazP https://t.co/GzpXErxqn2",2022-12-06T03:38:34.000Z,,,,,,,3_1599971529596760065
376,,,,,,,,,,,1599894781051928577,326913251,"RT @SoccerMadeinPDX: This week has been quite the year, hasn’t it?

On this week’s episode of Soccer Made in Portland, @ChrisRifer and @Rya…",2022-12-05T22:33:35.000Z,2,0,0,0,retweeted,1599894585161187328,
377,,,,,,,,,,,1599820177860079616,326913251,@JesseNeilson My understanding is they didn’t need to adjust anything or buy them down. They both fall under that threshold.,2022-12-05T17:37:08.000Z,0,1,10,0,replied_to,1599819667866259458,
378,,,,,,,,,,,1599819865061494784,326913251,"@iamlowder Yes, still one DP spot available in addition to Evander and Yimmi. How/when they’ll use it is unknown at this point.",2022-12-05T17:35:53.000Z,0,1,0,0,replied_to,1599817287342518273,
